frame.time,ip.src,ip.dst,udp.srcport,udp.dstport,dns.qry.name,dns.qry.type,dns.flags.response
"Apr 10, 2025 22:35:06.730164000 GMT Daylight Time",192.168.137.107,192.168.137.1,57449,53,wpad.mshome.net,1,FALSE
"Apr 10, 2025 22:35:06.730530000 GMT Daylight Time",192.168.137.107,192.168.137.1,57449,53,wpad.mshome.net,28,FALSE
"Apr 10, 2025 22:35:07.026609000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57449,wpad.mshome.net,1,TRUE
"Apr 10, 2025 22:35:07.030003000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,57449,wpad.mshome.net,28,TRUE
"Apr 10, 2025 22:35:07.551264000 GMT Daylight Time",192.168.137.107,192.168.137.1,45658,53,lgtvonline.lge.com,1,FALSE
"Apr 10, 2025 22:35:07.712024000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,45658,lgtvonline.lge.com,1,TRUE
"Apr 10, 2025 22:35:15.337372000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,LG-TV-2020.prod.partner.netflix.net,1,FALSE
"Apr 10, 2025 22:35:15.337372000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,LG-TV-2020.prod.partner.netflix.net,28,FALSE
"Apr 10, 2025 22:35:15.427519000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,LG-TV-2020.prod.partner.netflix.net,28,TRUE
"Apr 10, 2025 22:35:15.428918000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,LG-TV-2020.prod.partner.netflix.net,1,TRUE
"Apr 10, 2025 22:35:16.770246000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,www.ueiwsp.com,1,FALSE
"Apr 10, 2025 22:35:16.770246000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,www.ueiwsp.com,28,FALSE
"Apr 10, 2025 22:35:16.928230000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,www.ueiwsp.com,28,TRUE
"Apr 10, 2025 22:35:16.966444000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,www.ueiwsp.com,1,TRUE
"Apr 10, 2025 22:35:17.502489000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,www.ueiwsp.com,1,FALSE
"Apr 10, 2025 22:35:17.502687000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,www.ueiwsp.com,28,FALSE
"Apr 10, 2025 22:35:17.503573000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,www.ueiwsp.com,1,TRUE
"Apr 10, 2025 22:35:17.504039000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,www.ueiwsp.com,28,TRUE
"Apr 10, 2025 22:35:18.204613000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,www.ueiwsp.com,1,FALSE
"Apr 10, 2025 22:35:18.204613000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,www.ueiwsp.com,28,FALSE
"Apr 10, 2025 22:35:18.204613000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,www.ueiwsp.com,1,FALSE
"Apr 10, 2025 22:35:18.206516000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,www.ueiwsp.com,1,TRUE
"Apr 10, 2025 22:35:18.206879000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,www.ueiwsp.com,28,TRUE
"Apr 10, 2025 22:35:18.207002000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,www.ueiwsp.com,1,TRUE
"Apr 10, 2025 22:35:18.247953000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,www.ueiwsp.com,28,FALSE
"Apr 10, 2025 22:35:18.249798000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,www.ueiwsp.com,28,TRUE
"Apr 10, 2025 22:35:18.650207000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,1,FALSE
"Apr 10, 2025 22:35:18.651202000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,28,FALSE
"Apr 10, 2025 22:35:18.698431000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,1,TRUE
"Apr 10, 2025 22:35:18.702252000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,28,TRUE
"Apr 10, 2025 22:35:18.714096000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,LGwebOSTV,1,FALSE
"Apr 10, 2025 22:35:18.714096000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,LGwebOSTV.mshome.net,1,FALSE
"Apr 10, 2025 22:35:18.714096000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,LGwebOSTV,28,FALSE
"Apr 10, 2025 22:35:18.714096000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,LGwebOSTV.mshome.net,28,FALSE
"Apr 10, 2025 22:35:18.715255000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,LGwebOSTV.mshome.net,1,TRUE
"Apr 10, 2025 22:35:18.718756000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,LGwebOSTV.mshome.net,28,TRUE
"Apr 10, 2025 22:35:18.775501000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,LGwebOSTV,1,TRUE
"Apr 10, 2025 22:35:18.775704000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,LGwebOSTV,28,TRUE
"Apr 10, 2025 22:35:20.705278000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,LGwebOSTV,1,FALSE
"Apr 10, 2025 22:35:20.705469000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,LGwebOSTV.mshome.net,1,FALSE
"Apr 10, 2025 22:35:20.706946000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,LGwebOSTV,28,FALSE
"Apr 10, 2025 22:35:20.707439000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,LGwebOSTV.mshome.net,28,FALSE
"Apr 10, 2025 22:35:20.710933000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,LGwebOSTV.mshome.net,1,TRUE
"Apr 10, 2025 22:35:20.711039000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,LGwebOSTV,28,TRUE
"Apr 10, 2025 22:35:20.711175000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,LGwebOSTV,1,TRUE
"Apr 10, 2025 22:35:20.711294000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,LGwebOSTV.mshome.net,28,TRUE
"Apr 10, 2025 22:35:20.862431000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,1,FALSE
"Apr 10, 2025 22:35:20.862431000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,28,FALSE
"Apr 10, 2025 22:35:20.864014000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,1,TRUE
"Apr 10, 2025 22:35:20.864273000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,28,TRUE
"Apr 10, 2025 22:35:22.037974000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.info.lgsmartad.com,1,FALSE
"Apr 10, 2025 22:35:22.040160000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.info.lgsmartad.com,28,FALSE
"Apr 10, 2025 22:35:22.084299000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.info.lgsmartad.com,1,TRUE
"Apr 10, 2025 22:35:22.086600000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.info.lgsmartad.com,28,TRUE
"Apr 10, 2025 22:35:22.398229000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,1,FALSE
"Apr 10, 2025 22:35:22.398229000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,28,FALSE
"Apr 10, 2025 22:35:22.399078000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,28,TRUE
"Apr 10, 2025 22:35:22.399202000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,1,TRUE
"Apr 10, 2025 22:35:23.163903000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.info.lgsmartad.com,1,FALSE
"Apr 10, 2025 22:35:23.163903000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.info.lgsmartad.com,28,FALSE
"Apr 10, 2025 22:35:23.165024000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.info.lgsmartad.com,28,TRUE
"Apr 10, 2025 22:35:23.165211000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.info.lgsmartad.com,1,TRUE
"Apr 10, 2025 22:35:23.754219000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,1,FALSE
"Apr 10, 2025 22:35:23.755244000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,1,TRUE
"Apr 10, 2025 22:35:23.755531000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,28,FALSE
"Apr 10, 2025 22:35:23.788858000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,28,TRUE
"Apr 10, 2025 22:35:25.367383000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,1,FALSE
"Apr 10, 2025 22:35:25.367383000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,28,FALSE
"Apr 10, 2025 22:35:25.368744000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,1,TRUE
"Apr 10, 2025 22:35:25.457521000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,28,TRUE
"Apr 10, 2025 22:35:26.422960000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,1,FALSE
"Apr 10, 2025 22:35:26.423477000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,28,FALSE
"Apr 10, 2025 22:35:26.423876000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,1,TRUE
"Apr 10, 2025 22:35:26.553567000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,28,TRUE
