frame.time,ip.src,ip.dst,udp.srcport,udp.dstport,dns.qry.name,dns.qry.type,dns.flags.response
"Apr 10, 2025 22:36:09.098250000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,1,FALSE
"Apr 10, 2025 22:36:09.098250000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,28,FALSE
"Apr 10, 2025 22:36:09.153899000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,28,TRUE
"Apr 10, 2025 22:36:09.169132000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,1,TRUE
"Apr 10, 2025 22:36:09.340353000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,auth-ctv.digitaluk.co.uk,1,FALSE
"Apr 10, 2025 22:36:09.340353000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,auth-ctv.digitaluk.co.uk,28,FALSE
"Apr 10, 2025 22:36:09.387589000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,auth-ctv.digitaluk.co.uk,28,TRUE
"Apr 10, 2025 22:36:09.390028000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,auth-ctv.digitaluk.co.uk,1,TRUE
"Apr 10, 2025 22:36:09.651170000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,1,FALSE
"Apr 10, 2025 22:36:09.651170000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,28,FALSE
"Apr 10, 2025 22:36:09.652898000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,1,TRUE
"Apr 10, 2025 22:36:09.665692000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,28,TRUE
"Apr 10, 2025 22:36:09.813055000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,LG-TV-2020.prod.partner.netflix.net,1,FALSE
"Apr 10, 2025 22:36:09.813055000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,LG-TV-2020.prod.partner.netflix.net,28,FALSE
"Apr 10, 2025 22:36:09.973334000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,LG-TV-2020.prod.partner.netflix.net,28,TRUE
"Apr 10, 2025 22:36:09.973557000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,LG-TV-2020.prod.partner.netflix.net,1,TRUE
"Apr 10, 2025 22:36:10.773613000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,1,FALSE
"Apr 10, 2025 22:36:10.773613000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,28,FALSE
"Apr 10, 2025 22:36:10.774921000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,1,TRUE
"Apr 10, 2025 22:36:10.792795000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,28,TRUE
"Apr 10, 2025 22:36:10.941621000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,1,FALSE
"Apr 10, 2025 22:36:10.941621000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,28,FALSE
"Apr 10, 2025 22:36:10.944260000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,1,TRUE
"Apr 10, 2025 22:36:11.027225000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,28,TRUE
"Apr 10, 2025 22:36:11.779601000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,ngfts.lge.com,1,FALSE
"Apr 10, 2025 22:36:11.779804000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,ngfts.lge.com,28,FALSE
"Apr 10, 2025 22:36:11.838025000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,ngfts.lge.com,1,TRUE
"Apr 10, 2025 22:36:11.918848000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,ngfts.lge.com,28,TRUE
"Apr 10, 2025 22:36:12.290531000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,EIC.service.lgtvcommon.com,1,FALSE
"Apr 10, 2025 22:36:12.292527000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,EIC.service.lgtvcommon.com,28,FALSE
"Apr 10, 2025 22:36:12.328188000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,EIC.service.lgtvcommon.com,28,TRUE
"Apr 10, 2025 22:36:12.353666000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,EIC.service.lgtvcommon.com,1,TRUE
"Apr 10, 2025 22:36:13.396841000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,1,FALSE
"Apr 10, 2025 22:36:13.396841000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,28,FALSE
"Apr 10, 2025 22:36:13.398109000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,1,TRUE
"Apr 10, 2025 22:36:13.463846000 GMT Daylight Time",192.168.137.1,192.168.137.107,53,55014,GB.lgtvsdp.com,28,TRUE
"Apr 10, 2025 22:36:14.526582000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,1,FALSE
"Apr 10, 2025 22:36:14.526582000 GMT Daylight Time",192.168.137.107,192.168.137.1,55014,53,GB.lgtvsdp.com,28,FALSE
